"applicationdocsid","applicationdocstypeid","applno","submissiontype","submissionno","applicationdocstitle","applicationdocsurl","applicationdocsdate","tecode"
27852,1,21460,"SUPPL",8,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2009/021460s008ltr.pdf","2009-11-25 00:00:00",
36994,2,21460,"SUPPL",8,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2009/021460s008lbl.pdf","2009-09-18 00:00:00",
15526,2,21460,"SUPPL",9,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2011/021460s009lbl.pdf","2011-02-04 00:00:00",
27853,1,21460,"SUPPL",9,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2011/021460s009ltr.pdf","2011-02-03 00:00:00",
5448,1,21460,"SUPPL",10,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2013/021460Orig1s010ltr.pdf","2013-10-16 00:00:00",
36995,2,21460,"SUPPL",10,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2013/021460s010lbl.pdf","2013-10-22 00:00:00",
5449,1,21462,"ORIG",1,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2004/21462ltr.pdf","2004-02-05 00:00:00",
5450,1,21462,"SUPPL",1,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2004/21677,21462s001ltr.pdf","2004-08-25 00:00:00",
15527,2,21462,"SUPPL",1,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2004/021677lbl.pdf","2004-08-19 00:00:00",
23073,6,21462,"ORIG",1,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2004/021462ppilbl.pdf","2004-02-05 00:00:00",
23664,10,21462,"ORIG",1,"0","http://www.fda.gov/Drugs/DrugSafety/PostmarketDrugSafetyInformationforPatientsandProviders/ucm110261.htm","2005-04-15 00:00:00",
36996,2,21462,"ORIG",1,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2004/021462lbl.pdf","2004-02-05 00:00:00",
42179,3,21462,"ORIG",1,"0","http://www.accessdata.fda.gov/drugsatfda_docs/nda/2004/21-462_Alimta.cfm","2004-03-28 00:00:00",
44477,14,21462,"ORIG",1,"Questions and Answers","http://www.fda.gov/Drugs/DrugSafety/PostmarketDrugSafetyInformationforPatientsandProviders/ucm110262.htm","2004-02-05 00:00:00",
53389,20,21462,"ORIG",1,"0","https://www.accessdata.fda.gov/drugsatfda_docs/pediatric/21462 pemetrexed clinical bpca.pdf","1900-01-01 00:00:00",
